@relation A-6-train-weka.filters.unsupervised.attribute.Remove-R5

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.327616,4,1,1080,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.358417,4,1,1070,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.47545,4,1,1060,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
0.32635,4,1,1050,cluster15
