refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0,0,0,17530,cluster11,cluster11
0.011267,1,1,3480,cluster11,cluster11
0.009867,5,1,22120,cluster11,cluster11
0.097033,5,1,1290,cluster11,cluster11
0,2,1,11490,cluster11,cluster11
0.009016,6,0,2230,cluster11,cluster11
0.035949,1,1,3400,cluster11,cluster11
0,6,0,4580,cluster11,cluster11
0.010999,5,1,22110,cluster11,cluster11
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0.451767,5,1,1350,cluster11,cluster7
0,6,0,4500,cluster11,cluster11
0.00605,1,1,3470,cluster11,cluster11
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0.191504,3,1,5210,cluster11,cluster7
0,2,1,11480,cluster11,cluster11
0.11265,1,1,3390,cluster11,cluster11
0.0073,6,0,4570,cluster11,cluster11
0,5,1,1260,cluster11,cluster11
0.41735,5,1,1340,cluster11,cluster11
0.007701,1,1,3460,cluster11,cluster11
0,2,1,11470,cluster11,cluster11
0,3,1,3280,cluster11,cluster11
0,3,1,3270,cluster11,cluster11
0,3,1,3260,cluster11,cluster11
0,6,0,17590,cluster11,cluster11
0.650818,3,1,550,cluster11,cluster15
