@relation mrgD3train-weka.filters.unsupervised.attribute.Remove-R2

@attribute refinedUse numeric
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0.199599,1,8530,cluster11
0.170683,0,5220,cluster11
1.13128,1,3400,cluster12
0.123283,1,3340,cluster16
1.78753,1,3450,cluster12
1.913,1,6490,cluster5
1.78753,1,3450,cluster12
0.547599,0,440,cluster7
0.047351,0,15070,cluster11
0.547599,0,440,cluster7
1.41642,1,13380,cluster19
1.63883,1,6510,cluster9
1.63883,1,6510,cluster9
0.942866,0,310,cluster7
0.324082,1,4230,cluster3
1.41642,1,13380,cluster19
1.913,1,6490,cluster5
1.41642,1,13380,cluster19
2.66963,1,3470,cluster12
2.5874,1,3510,cluster12
0.194699,0,4300,cluster18
0.03275,0,17130,cluster6
2.63303,1,14300,cluster5
0.03275,0,17130,cluster6
0.133134,1,3370,cluster16
2.17058,1,4380,cluster19
2.74917,1,3460,cluster12
1.75742,1,13560,cluster19
0.749084,0,5470,cluster18
0.749084,0,5470,cluster18
2.02865,1,3280,cluster18
1.95205,0,10220,cluster6
2.6527,1,3480,cluster12
1.80665,1,3310,cluster12
0.43255,1,11570,cluster16
0.089154,1,9190,cluster11
1.96608,1,4320,cluster19
0,1,19500,cluster11
1.80665,1,3310,cluster12
0,1,19500,cluster11
0.032417,0,22050,cluster11
0.133134,1,3370,cluster16
0.751948,0,7370,cluster11
1.19567,1,13410,cluster5
0.327184,1,8560,cluster6
0.668399,0,420,cluster7
0.123283,1,3340,cluster16
0.668399,0,420,cluster7
1.83323,1,9280,cluster4
0.509734,1,23200,cluster6
1.83323,1,9280,cluster4
0.509734,1,23200,cluster6
1.1248,1,13490,cluster19
0.615799,1,23080,cluster6
2.0504,1,12350,cluster5
1.19397,1,320,cluster17
1.1248,1,13490,cluster19
0.024057,1,22300,cluster11
0.462199,1,15480,cluster3
0.024057,1,22300,cluster11
0.543884,1,12320,cluster9
2.15023,0,16540,cluster17
2.56198,0,8230,cluster5
2.15023,0,16540,cluster17
0.615799,1,23080,cluster6
0.530966,0,16490,cluster17
1.78753,1,3450,cluster12
0.205401,0,9180,cluster15
0.442017,1,15510,cluster3
0.116349,1,3350,cluster16
0.205401,0,9180,cluster15
2.13702,1,6280,cluster19
0.178784,0,23020,cluster6
1.7309,1,12540,cluster5
0.350482,1,11420,cluster15
1.06962,1,1010,cluster3
0.133134,1,3370,cluster16
0.509257,0,9050,cluster15
2.00715,1,3270,cluster18
0.509257,0,9050,cluster15
1.7309,1,12540,cluster5
1.79358,1,3550,cluster9
1.79958,1,13550,cluster19
0.29842,1,23190,cluster3
0.29842,1,23190,cluster3
1.78608,0,23270,cluster5
0.766983,0,13220,cluster3
0.441766,0,16450,cluster17
1.79958,1,13550,cluster19
0.766983,0,13220,cluster3
0.298277,0,10150,cluster11
0.133134,1,3370,cluster16
4.19243,1,12450,cluster5
0.350203,1,11430,cluster15
2.03263,0,8340,cluster5
0.350203,1,11430,cluster15
1.07532,0,23400,cluster6
0.702683,0,570,cluster7
0.176367,0,18370,cluster17
1.44747,1,3430,cluster12
0.328867,0,16520,cluster17
0.702683,0,570,cluster7
1.44747,1,3430,cluster12
1.33602,1,3570,cluster18
0.1294,0,23250,cluster11
0,1,19450,cluster11
2.0363,1,12470,cluster5
0.43255,1,11570,cluster16
0.133134,1,3370,cluster16
1.32763,1,280,cluster17
0.177933,0,18230,cluster17
0.102067,1,380,cluster16
0.102067,1,380,cluster16
2.01713,1,1000,cluster3
1.81152,1,8530,cluster4
1.81152,1,8530,cluster4
0.818884,0,4230,cluster18
0.679667,0,23350,cluster15
0.879699,0,5250,cluster18
0.133134,1,3370,cluster16
0.300768,1,0,cluster7
0.544167,1,17000,cluster17
2.7075,1,3520,cluster12
1.69277,1,9460,cluster4
0.058184,1,16180,cluster11
0.95755,1,1040,cluster3
0.69,0,350,cluster7
1.13128,1,3400,cluster12
0.526633,1,4070,cluster9
1.47567,1,4330,cluster18
1.94208,1,6530,cluster19
0.243133,0,10190,cluster15
0.133706,0,9160,cluster15
2.56317,1,14410,cluster5
0.243133,0,10190,cluster15
2.56317,1,14410,cluster5
0.155519,1,23200,cluster3
1.67652,1,14170,cluster19
1.73063,1,7450,cluster4
1.79173,1,7530,cluster4
1.69022,1,9510,cluster4
2.66963,1,3470,cluster12
1.96818,1,3300,cluster12
1.86012,1,8000,cluster4
0.271223,0,10200,cluster15
0,1,3550,cluster11
0.271223,0,10200,cluster15
0.222249,1,5080,cluster6
0,1,3550,cluster11
0.3085,0,18200,cluster17
2.55276,1,13190,cluster5
1.69022,1,9510,cluster4
1.1248,1,13490,cluster19
2.39325,1,6390,cluster5
1.86012,1,8000,cluster4
2.39325,1,6390,cluster5
0.547599,0,440,cluster7
0.194699,0,4300,cluster18
0.344263,1,11450,cluster15
2.10527,1,6330,cluster5
0.734383,0,500,cluster7
2.6527,1,3480,cluster12
0.297767,0,18170,cluster17
2.05878,1,12490,cluster5
0.718867,0,17480,cluster6
2.17058,1,4380,cluster19
0.327184,1,8560,cluster6
2.05878,1,12490,cluster5
0.475233,0,16500,cluster17
0.475233,0,16500,cluster17
0,0,18540,cluster11
0.7465,0,520,cluster7
1.8487,0,16560,cluster17
0.7465,0,520,cluster7
0.43255,1,11570,cluster16
0.43255,1,11570,cluster16
0,1,13390,cluster11
0.711533,0,470,cluster7
1.83323,1,9280,cluster4
2.0998,1,3300,cluster18
1.3193,1,3260,cluster18
2.6412,1,3530,cluster12
1.09745,1,3590,cluster18
0.512267,1,4150,cluster3
0.733049,1,4110,cluster9
0.679299,0,110,cluster15
0.679299,0,110,cluster15
1.50802,1,4380,cluster18
1.32092,1,520,cluster3
1.74525,1,7220,cluster19
1.46027,1,13160,cluster5
1.46027,1,13160,cluster5
2.70625,1,14220,cluster5
2.70625,1,14220,cluster5
1.79747,1,3540,cluster9
2.15228,1,4360,cluster19
1.78753,1,3450,cluster12
1.52595,1,4360,cluster18
2.63303,1,14300,cluster5
0.580866,1,4100,cluster3
0.133134,1,3370,cluster16
2.15528,0,16550,cluster17
1.87387,1,13240,cluster19
1.52595,1,4360,cluster18
2.88878,0,8390,cluster5
0.855467,1,23470,cluster9
0.915233,1,12560,cluster5
1.96588,0,16530,cluster17
1.21342,1,3380,cluster12
0.484934,1,18590,cluster6
1.96588,0,16530,cluster17
0.83825,1,4270,cluster11
