@relation mrgB-3train

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
2.05912,2,1,8070,cluster4
1.63198,2,1,8490,cluster4
0.827183,5,1,13020,cluster6
2.05912,2,1,8070,cluster4
2.05912,2,1,8070,cluster4
0.15655,1,1,2540,cluster8
0.112117,0,0,2520,cluster8
2.05912,2,1,8070,cluster4
2.05912,2,1,8070,cluster4
2.05912,2,1,8070,cluster4
2.05912,2,1,8070,cluster4
0.431183,5,0,4220,cluster14
1.60207,2,1,8320,cluster4
0.431183,5,0,4220,cluster14
1.60207,2,1,8320,cluster4
0.431183,5,0,4220,cluster14
1.60207,2,1,8320,cluster4
0.431183,5,0,4220,cluster14
0.431183,5,0,4220,cluster14
0,0,0,17320,cluster8
1.19788,2,1,13230,cluster6
0.431183,5,0,4220,cluster14
0.431183,5,0,4220,cluster14
0.123432,0,0,22540,cluster8
0.431183,5,0,4220,cluster14
0.123432,0,0,22540,cluster8
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
1.1248,1,1,13490,cluster19
1.1248,1,1,13490,cluster19
0.65959,4,1,23410,cluster2
0,4,1,9590,cluster11
1.1248,1,1,13490,cluster19
0.423801,4,1,12450,cluster2
1.65528,2,1,13570,cluster6
1.94532,3,1,12570,cluster5
0.65959,4,1,23410,cluster2
0.423801,4,1,12450,cluster2
1.94532,3,1,12570,cluster5
0.423801,4,1,12450,cluster2
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
0.159718,6,0,14510,cluster11
0.423801,4,1,12450,cluster2
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
0.116249,1,1,7310,cluster8
0.423801,4,1,12450,cluster2
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
0.423801,4,1,12450,cluster2
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
0.423801,4,1,12450,cluster2
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
1.94532,3,1,12570,cluster5
1.94532,3,1,12570,cluster5
1.94532,3,1,12570,cluster5
0.83825,1,1,4270,cluster11
0.020783,0,0,20330,cluster8
1.74737,3,1,13530,cluster19
2.04855,2,1,8060,cluster4
1.74737,3,1,13530,cluster19
1.74737,3,1,13530,cluster19
2.04855,2,1,8060,cluster4
