@relation c1train-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R3

@attribute 'refinedUse ' numeric
@attribute ' dow ' {0,1,2,3,4,5,6}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute Cluster {cluster13,cluster9,cluster3,cluster5,cluster15,cluster17,cluster4,cluster12,cluster55,cluster11,cluster10,cluster42,cluster19,cluster30,cluster33,cluster36,cluster34,cluster39,cluster54,cluster47,cluster26,cluster25,cluster50,cluster52,cluster28}

@data
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.201217,0,0,22550,cluster13
0,5,1,15010,cluster5
0,5,1,15010,cluster5
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.01128,5,1,40,cluster10
1.18853,3,1,1460,cluster17
1.18853,3,1,1460,cluster17
1.18853,3,1,1460,cluster17
1.18853,3,1,1460,cluster17
0.2001,0,0,22540,cluster13
0.378667,4,1,14510,cluster15
0.0606,2,1,10490,cluster5
0.0606,2,1,10490,cluster5
1.21235,3,1,1450,cluster17
1.21235,3,1,1450,cluster17
1.21235,3,1,1450,cluster17
1.21235,3,1,1450,cluster17
0.054966,2,1,10480,cluster5
0.054966,2,1,10480,cluster5
1.24643,3,1,1440,cluster17
1.24643,3,1,1440,cluster17
1.24643,3,1,1440,cluster17
1.24643,3,1,1440,cluster17
0.0301,0,0,21000,cluster13
0.053067,2,1,10470,cluster5
0.053067,2,1,10470,cluster5
1.21623,1,1,16150,cluster13
0.109484,6,0,2280,cluster12
0.109484,6,0,2280,cluster12
0.109484,6,0,2280,cluster12
0.109484,6,0,2280,cluster12
1.2012,3,1,1430,cluster17
1.2012,3,1,1430,cluster17
1.2012,3,1,1430,cluster17
1.2012,3,1,1430,cluster17
0.280333,1,1,1180,cluster5
0.280333,1,1,1180,cluster5
0.028451,0,1,17240,cluster5
0.028451,0,1,17240,cluster5
1.02698,1,1,16140,cluster13
0.255401,6,0,2270,cluster12
0.255401,6,0,2270,cluster12
0.255401,6,0,2270,cluster12
0.255401,6,0,2270,cluster12
0,5,1,11300,cluster5
0,5,1,11300,cluster5
0.533533,1,1,1170,cluster5
0.533533,1,1,1170,cluster5
0.097433,4,1,21400,cluster3
0.097433,4,1,21400,cluster3
0.039833,0,1,17230,cluster5
0.039833,0,1,17230,cluster5
0.10795,4,1,21390,cluster3
0.10795,4,1,21390,cluster3
0,2,1,3350,cluster13
0.1037,4,1,21380,cluster3
0.1037,4,1,21380,cluster3
0.104088,4,1,21370,cluster3
0.104088,4,1,21370,cluster3
0.104187,4,1,21360,cluster3
0.104187,4,1,21360,cluster3
0.067397,2,1,3320,cluster13
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
0.668249,5,1,1140,cluster10
