@relation 1train-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R3

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.518534,4,1,1310,cluster15
1.70455,4,1,5210,cluster4
0.518534,4,1,1310,cluster15
1.70455,4,1,5210,cluster4
1.70455,4,1,5210,cluster4
1.70455,4,1,5210,cluster4
1.70455,4,1,5210,cluster4
1.70455,4,1,5210,cluster4
0.144063,6,0,4560,cluster10
0.144063,6,0,4560,cluster10
0,1,1,19220,cluster10
1.36878,0,1,16400,cluster17
0,1,1,19220,cluster10
0.759321,3,1,12360,cluster6
1.36878,0,1,16400,cluster17
0,1,1,19220,cluster10
0.216867,6,0,4430,cluster8
1.36878,0,1,16400,cluster17
0.346367,0,0,17000,cluster1
1.36878,0,1,16400,cluster17
1.36878,0,1,16400,cluster17
0.808453,3,1,12350,cluster6
1.36878,0,1,16400,cluster17
0.123049,0,0,19100,cluster13
0.808453,3,1,12350,cluster6
0,0,0,3040,cluster11
0.123049,0,0,19100,cluster13
0.808453,3,1,12350,cluster6
0,0,0,3040,cluster11
0.208534,6,0,4420,cluster8
0.0314,5,1,18010,cluster8
0.324834,5,1,13450,cluster1
0.152735,5,0,1310,cluster0
0.152735,5,0,1310,cluster0
0.327,3,1,16090,cluster3
0.327,3,1,16090,cluster3
0.561783,0,0,210,cluster6
0.327,3,1,16090,cluster3
0.561783,0,0,210,cluster6
0.064217,4,1,15440,cluster11
0,4,1,10340,cluster11
0,6,0,2130,cluster11
0.499616,3,1,16080,cluster3
0,4,1,10340,cluster11
0.7013,3,1,12530,cluster10
0.499616,3,1,16080,cluster3
0,4,1,10330,cluster11
0.7013,3,1,12530,cluster10
0.499616,3,1,16080,cluster3
0.7013,3,1,12530,cluster10
0.499616,3,1,16080,cluster3
0.499616,3,1,16080,cluster3
0.718482,5,1,11160,cluster1
0.467717,5,1,14020,cluster1
1.7825,0,0,10060,cluster1
1.7825,0,0,10060,cluster1
0.748137,3,1,1170,cluster3
0.748137,3,1,1170,cluster3
0.696601,1,1,1190,cluster2
0.748137,3,1,1170,cluster3
0.696601,1,1,1190,cluster2
0.748137,3,1,1170,cluster3
0.051183,5,1,5470,cluster11
0.748137,3,1,1170,cluster3
0.147801,6,0,19460,cluster8
0.748137,3,1,1170,cluster3
0.952201,6,0,2290,cluster2
0.748137,3,1,1170,cluster3
0.819534,5,1,11270,cluster1
0.952201,6,0,2290,cluster2
0.748137,3,1,1170,cluster3
2.05742,0,0,10170,cluster1
0.952201,6,0,2290,cluster2
0.748137,3,1,1170,cluster3
2.05742,0,0,10170,cluster1
0.952201,6,0,2290,cluster2
0.748137,3,1,1170,cluster3
1.47864,6,0,16320,cluster13
0.952201,6,0,2290,cluster2
1.47864,6,0,16320,cluster13
0.952201,6,0,2290,cluster2
1.47864,6,0,16320,cluster13
0.825267,5,1,11260,cluster1
