@relation 1train-c-weka.filters.unsupervised.attribute.Remove-R6-7

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' phase' {0,1,2,3}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.248634,1,2,1,5510,cluster2
1.46972,2,1,1,1460,cluster14
1.46972,2,1,1,1460,cluster14
0.290767,1,0,1,16480,cluster17
1.04388,5,0,1,15080,cluster8
0,2,3,1,11270,cluster11
0.434784,0,1,0,500,cluster2
0.434784,0,1,0,500,cluster2
0.430649,6,0,0,15050,cluster8
1.21235,3,1,1,1450,cluster5
1.21235,3,1,1,1450,cluster5
2.00417,4,1,1,3050,cluster5
0.541267,5,1,1,1060,cluster7
0.541267,5,1,1,1060,cluster7
1.4818,2,1,1,1390,cluster14
1.4818,2,1,1,1390,cluster14
0.541267,5,1,1,1060,cluster7
0.541267,5,1,1,1060,cluster7
1.5322,3,3,1,7020,cluster4
2.00417,4,1,1,3050,cluster5
0.541267,5,1,1,1060,cluster7
0.541267,5,1,1,1060,cluster7
1.4818,2,1,1,1390,cluster14
1.4818,2,1,1,1390,cluster14
0.160707,3,0,1,20130,cluster8
1.5322,3,3,1,7020,cluster4
2.00417,4,1,1,3050,cluster5
0.04555,6,1,0,3110,cluster11
1.5322,3,3,1,7020,cluster4
2.00417,4,1,1,3050,cluster5
0.045499,6,0,0,22410,cluster11
1.17158,5,2,0,6150,cluster16
1.77043,3,2,1,6330,cluster5
1.17158,5,2,0,6150,cluster16
1.0555,5,3,0,12240,cluster9
1.0555,5,3,0,12240,cluster9
1.77043,3,2,1,6330,cluster5
0,6,0,0,18410,cluster11
1.17158,5,2,0,6150,cluster16
1.0555,5,3,0,12240,cluster9
1.0555,5,3,0,12240,cluster9
0,6,1,0,2160,cluster11
1.77043,3,2,1,6330,cluster5
1.0555,5,3,0,12240,cluster9
1.0555,5,3,0,12240,cluster9
1.18108,0,0,1,16480,cluster8
1.17158,5,2,0,6150,cluster16
1.02372,5,2,0,6250,cluster16
1.77043,3,2,1,6330,cluster5
0.107917,3,3,1,13280,cluster8
1.34347,0,0,1,16470,cluster17
1.0555,5,3,0,12240,cluster9
1.0555,5,3,0,12240,cluster9
1.34347,0,0,1,16470,cluster17
1.02372,5,2,0,6250,cluster16
1.34347,0,0,1,16470,cluster17
0,4,3,1,10280,cluster11
0.321157,6,3,0,11190,cluster15
0.321157,6,3,0,11190,cluster15
2.14645,4,1,1,1230,cluster15
2.14645,4,1,1,1230,cluster15
1.17902,3,0,1,15320,cluster8
1.59592,4,1,1,2250,cluster19
2.24605,0,0,1,16070,cluster16
0.321157,6,3,0,11190,cluster15
0.321157,6,3,0,11190,cluster15
2.14645,4,1,1,1230,cluster15
2.14645,4,1,1,1230,cluster15
1.59592,4,1,1,2250,cluster19
0.321157,6,3,0,11190,cluster15
0.321157,6,3,0,11190,cluster15
1.73923,2,3,1,9580,cluster4
0,3,1,1,420,cluster3
0.97395,2,2,1,4030,cluster18
2.24605,0,0,1,16070,cluster16
0,0,3,1,12150,cluster11
0.935066,4,0,1,20460,cluster8
1.59592,4,1,1,2250,cluster19
1.73923,2,3,1,9580,cluster4
0,3,1,1,420,cluster3
0.97395,2,2,1,4030,cluster18
2.24605,0,0,1,16070,cluster16
0.667834,5,3,0,12120,cluster9
0.667834,5,3,0,12120,cluster9
1.73923,2,3,1,9580,cluster4
0.97395,2,2,1,4030,cluster18
1.73923,2,3,1,9580,cluster4
0.55225,3,0,1,14060,cluster8
0.415416,1,0,1,23550,cluster15
0.415416,1,0,1,23550,cluster15
1.12367,5,1,0,2370,cluster3
0.55225,3,0,1,14060,cluster8
0.112817,6,3,0,11260,cluster11
1.74063,4,2,1,6040,cluster4
1.12367,5,1,0,2370,cluster3
0.226012,2,1,1,300,cluster8
0.076166,5,0,1,22380,cluster11
0.25635,6,0,0,18500,cluster17
1.12367,5,1,0,2370,cluster3
1.74063,4,2,1,6040,cluster4
0.840483,5,2,0,6080,cluster9
0.840483,5,2,0,6080,cluster9
1.12367,5,1,0,2370,cluster3
1.74063,4,2,1,6040,cluster4
1.05202,5,1,0,2220,cluster3
0.900734,3,1,1,260,cluster2
0.900734,3,1,1,260,cluster2
1.61253,2,3,1,9460,cluster4
1.0894,2,2,1,4020,cluster18
1.07427,2,2,1,4010,cluster18
1.02848,1,0,1,16320,cluster17
2.11517,4,2,1,6020,cluster4
1.46972,2,1,1,1460,cluster14
1.46972,2,1,1,1460,cluster14
0.248634,1,2,1,5510,cluster2
0.248634,1,2,1,5510,cluster2
0.900734,3,1,1,260,cluster2
0.900734,3,1,1,260,cluster2
0.696034,4,2,1,5080,cluster11
0.290767,1,0,1,16480,cluster17
1.46972,2,1,1,1460,cluster14
1.46972,2,1,1,1460,cluster14
1.02848,1,0,1,16320,cluster17
1.0894,2,2,1,4020,cluster18
1.46972,2,1,1,1460,cluster14
1.46972,2,1,1,1460,cluster14
0.868984,3,0,1,14220,cluster8
2.11517,4,2,1,6020,cluster4
0.452333,4,0,1,20450,cluster8
0.248634,1,2,1,5510,cluster2
0.248634,1,2,1,5510,cluster2
0.127451,1,2,1,4240,cluster8
0.290767,1,0,1,16480,cluster17
1.0894,2,2,1,4020,cluster18
1.02848,1,0,1,16320,cluster17
0.248634,1,2,1,5510,cluster2
0.248634,1,2,1,5510,cluster2
0.290767,1,0,1,16480,cluster17
0.541267,5,1,1,1060,cluster7
0.541267,5,1,1,1060,cluster7
0.541267,5,1,1,1060,cluster7
0.541267,5,1,1,1060,cluster7
1.97048,2,3,1,9590,cluster4
0.04555,6,1,0,3110,cluster11
1.5322,3,3,1,7020,cluster4
0.97395,2,2,1,4030,cluster18
2.00417,4,1,1,3050,cluster5
0.5894,0,0,0,23560,cluster8
0.04555,6,1,0,3110,cluster11
1.5322,3,3,1,7020,cluster4
0.97395,2,2,1,4030,cluster18
2.00417,4,1,1,3050,cluster5
0.33795,0,3,0,10480,cluster8
1.5322,3,3,1,7020,cluster4
2.00417,4,1,1,3050,cluster5
0.33795,0,3,0,10480,cluster8
1.39703,4,2,1,5320,cluster14
1.39703,4,2,1,5320,cluster14
1.17158,5,2,0,6150,cluster16
1.77043,3,2,1,6330,cluster5
1.02372,5,2,0,6250,cluster16
1.39703,4,2,1,5320,cluster14
1.39703,4,2,1,5320,cluster14
