refinedUse,' dow',' dType',' Time',' Cluster'
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
1.78317,1,1,3140,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.59702,2,1,3540,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
2.59702,2,1,3540,cluster18
