@relation 'week1_v4_clustered-weka.filters.unsupervised.attribute.Remove-R4-6,8-30-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Day numeric
@attribute Time numeric
@attribute 'use [kW]_y' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1,145900,0.776433,cluster9
1,222900,0.878833,cluster4
1,114000,0.453633,cluster11
1,62200,0.645683,cluster6
1,95700,0.623583,cluster11
1,83400,1.290067,cluster13
1,114200,0.38745,cluster11
1,182100,1.648867,cluster5
0,193500,0.437017,cluster8
0,160600,1.652983,cluster17
1,174400,3.454583,cluster2
1,72900,1.240467,cluster9
1,122700,0.52985,cluster11
0,215300,0.442817,cluster8
1,25400,1.0702,cluster19
1,184000,1.262467,cluster0
1,101200,2.586817,cluster16
1,162600,0.583983,cluster11
0,182100,1.457567,cluster17
0,233400,1.21135,cluster7
1,105200,0.837583,cluster13
0,34600,0.327083,cluster15
0,52100,0.318917,cluster15
1,62000,1.00045,cluster6
0,101200,1.581617,cluster17
1,191800,1.135933,cluster3
0,190400,2.0168,cluster10
1,230100,0.68525,cluster3
1,104200,3.044933,cluster16
1,165000,1.163283,cluster5
0,130200,0.9191,cluster14
1,162900,1.692683,cluster2
1,191000,1.217783,cluster3
0,193900,0.61635,cluster8
0,232400,1.773967,cluster17
1,214700,1.066033,cluster4
1,25700,0.882417,cluster13
0,32100,0.528983,cluster15
1,235700,2.668067,cluster1
1,75800,1.12075,cluster13
1,25500,0.844933,cluster13
1,111100,0.32765,cluster11
0,225500,0.6259,cluster8
1,121800,0.400117,cluster11
0,235700,0.918817,cluster7
0,105700,1.472717,cluster18
1,20400,1.005083,cluster13
1,31900,0.936467,cluster6
0,81600,0.8196,cluster18
1,115600,0.34475,cluster11
1,170900,1.789717,cluster5
0,0,1.193833,cluster18
1,102100,1.568,cluster13
0,300,1.667817,cluster18
1,120800,1.050833,cluster9
0,130800,0.4229,cluster8
0,112700,2.153667,cluster8
1,13800,1.692933,cluster13
1,114400,0.453667,cluster11
1,204400,1.1326,cluster0
1,72900,1.6753,cluster13
0,214000,0.441067,cluster8
1,72600,2.2361,cluster2
1,74600,2.100267,cluster12
1,235200,1.945617,cluster2
0,192700,0.89885,cluster14
1,65300,0.718083,cluster11
1,182400,1.629067,cluster5
1,211400,0.631483,cluster4
1,83700,0.876683,cluster11
0,205700,1.30665,cluster8
0,175200,1.6253,cluster7
1,63500,1.06765,cluster6
1,193500,0.738967,cluster3
0,64800,0.702317,cluster8
1,185400,1.954583,cluster5
1,120800,0.765167,cluster11
0,13100,1.094733,cluster18
0,44700,0.959617,cluster15
0,181700,1.730583,cluster17
0,5400,0.967967,cluster18
1,161900,1.028583,cluster19
1,65200,2.645667,cluster19
1,232500,3.146617,cluster1
1,22600,1.716167,cluster13
1,171800,1.452733,cluster2
1,115900,1.211783,cluster9
1,4700,1.592167,cluster13
1,25400,1.2093,cluster13
1,203100,0.81555,cluster3
1,143400,0.97555,cluster0
1,72400,0.89675,cluster11
1,133800,1.273433,cluster12
1,90500,2.72125,cluster13
0,163300,1.450383,cluster7
1,23400,1.07605,cluster13
1,91500,0.5878,cluster11
1,133500,1.33295,cluster12
1,15400,1.078667,cluster13
1,143400,0.4318,cluster11
1,500,1.574183,cluster1
0,60500,0.965467,cluster15
1,112500,0.76355,cluster11
1,170600,1.54385,cluster5
1,54700,0.313283,cluster11
1,204900,1.166917,cluster0
1,42800,1.0701,cluster6
1,42200,1.075083,cluster6
1,190400,1.389517,cluster2
1,94700,1.052233,cluster2
1,60600,0.415817,cluster6
1,34500,0.66735,cluster6
1,193700,0.78865,cluster3
1,125800,0.930667,cluster19
0,74900,2.1227,cluster17
1,93800,0.834567,cluster13
1,80600,1.373967,cluster2
1,81500,1.480883,cluster12
1,80300,1.918633,cluster13
1,203900,0.71715,cluster9
1,21800,1.463417,cluster13
0,65100,0.788917,cluster8
1,152500,1.302667,cluster5
1,93800,0.552883,cluster11
0,85000,3.504167,cluster17
1,145000,0.958033,cluster0
1,34700,0.665983,cluster6
1,72800,1.222717,cluster9
0,100300,2.93895,cluster17
1,70700,0.682667,cluster11
1,180000,0.593033,cluster9
1,71200,4.039133,cluster13
1,153900,1.610967,cluster12
1,20300,0.978717,cluster13
1,182100,1.6289,cluster2
1,155100,1.59035,cluster2
1,215400,1.251083,cluster0
1,14200,1.672633,cluster13
1,24200,1.509867,cluster13
1,60400,0.429933,cluster11
1,201100,0.883783,cluster3
1,90200,1.56585,cluster2
1,104200,0.394617,cluster11
1,123900,0.429617,cluster11
0,153500,1.846633,cluster7
0,131600,0.334883,cluster8
0,145600,1.128,cluster14
1,105600,0.835567,cluster13
1,152600,1.047833,cluster2
1,131000,0.87995,cluster19
1,173200,2.06595,cluster2
0,92800,6.6467,cluster17
1,184700,1.469817,cluster2
1,84000,0.892617,cluster11
1,132200,1.472633,cluster12
1,140900,0.75935,cluster19
1,142900,0.46235,cluster11
0,180300,1.866367,cluster17
0,15700,0.97805,cluster18
1,35200,0.5317,cluster11
1,90400,2.716433,cluster13
1,174400,2.280833,cluster5
1,201900,1.273733,cluster3
1,65400,0.815767,cluster11
1,224000,0.729067,cluster9
0,84000,1.14185,cluster18
1,4000,1.649083,cluster13
1,214900,1.15025,cluster0
1,192300,0.736967,cluster3
1,195700,0.830267,cluster3
0,113900,0.483717,cluster8
0,183000,1.31695,cluster7
1,120700,1.09155,cluster9
1,122500,1.5368,cluster12
0,81200,1.326383,cluster18
1,133900,1.221383,cluster0
1,20100,1.004683,cluster19
1,3200,1.397833,cluster1
0,24300,1.368333,cluster18
1,130100,0.832117,cluster9
0,232500,1.270383,cluster1
1,204700,1.154133,cluster0
1,222500,0.891583,cluster4
1,223700,1.362917,cluster3
1,104000,1.7093,cluster19
1,211200,1.015567,cluster4
1,160000,1.239983,cluster2
0,71300,1.862767,cluster10
1,23700,0.62105,cluster13
1,102000,0.964717,cluster11
1,74900,1.164633,cluster11
0,192300,0.91895,cluster14
1,45500,0.521433,cluster11
1,214600,0.947867,cluster9
1,191500,0.7954,cluster3
0,193800,1.2368,cluster8
1,83300,1.820583,cluster13
0,225300,0.68985,cluster8
1,4200,1.49405,cluster1
1,3500,1.078967,cluster13
1,234900,2.6233,cluster1
1,215000,0.712883,cluster9
0,81100,1.14835,cluster7
1,145200,0.549617,cluster0
0,184700,1.239667,cluster7
0,172500,1.179017,cluster7
1,234000,1.7628,cluster5
0,144600,0.555067,cluster8
