refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0,5,1,1,1270,cluster13
0,5,1,1,1260,cluster13
0,5,1,1,1250,cluster13
0,5,1,1,1240,cluster13
0.71455,5,1,1,1230,cluster13
0.33324,5,1,1,1220,cluster13
0.039683,5,1,1,1210,cluster13
0.04215,5,1,1,1200,cluster13
0.026413,5,1,1,1190,cluster13
0.04532,5,1,1,1180,cluster13
0.093444,5,1,1,1170,cluster13
0.154736,5,1,1,1160,cluster13
0.094304,5,1,1,1150,cluster13
0.041067,5,1,1,1140,cluster13
0.065553,5,1,1,1130,cluster13
0.051851,5,1,1,1120,cluster13
0,2,3,1,11290,cluster13
0,2,3,1,11280,cluster13
0,2,3,1,11270,cluster13
0,2,3,1,11260,cluster13
0,2,3,1,11250,cluster13
0,2,3,1,11240,cluster13
0.029003,5,1,1,1110,cluster13
0.034886,5,1,1,1100,cluster13
0.061089,5,1,1,1090,cluster13
0.049337,5,1,1,1060,cluster13
0.062304,5,1,1,1050,cluster13
0.044499,5,1,1,1040,cluster13
0.020118,0,0,1,22150,cluster13
0.01715,0,0,1,22140,cluster13
0.020584,0,0,1,22130,cluster13
0.020916,0,0,1,22120,cluster13
0.022967,0,0,1,22110,cluster13
0.025933,0,0,1,22100,cluster13
0.021433,0,0,1,22090,cluster13
0.020133,0,0,1,22080,cluster13
0.02555,0,0,1,22070,cluster13
0.021734,0,0,1,22060,cluster13
0,4,0,1,19000,cluster13
0,4,0,1,18590,cluster13
0,4,0,1,18580,cluster13
0,4,0,1,18570,cluster13
0,4,0,1,18560,cluster13
0,4,0,1,18550,cluster13
0,4,0,1,18540,cluster13
0,4,0,1,18530,cluster13
0,4,0,1,18520,cluster13
0,4,0,1,18510,cluster13
0,4,0,1,18500,cluster13
0,4,0,1,18490,cluster13
0,4,0,1,18480,cluster13
0,4,0,1,18470,cluster13
0,4,0,1,18460,cluster13
0,4,0,1,18450,cluster13
0,4,0,1,18440,cluster13
0,4,0,1,18430,cluster13
0,4,0,1,18420,cluster13
0,4,0,1,18410,cluster13
0.337,4,1,1,240,cluster13
0.37862,4,1,1,230,cluster13
0.32665,4,1,1,220,cluster13
0,4,0,1,18400,cluster13
0,4,0,1,18390,cluster13
0,4,0,1,18380,cluster13
0,4,0,1,18370,cluster13
0,4,0,1,18360,cluster13
0,4,0,1,18350,cluster13
0,4,0,1,18340,cluster13
0,4,0,1,18330,cluster13
0,4,0,1,18320,cluster13
0,4,0,1,18310,cluster13
0.357739,4,1,1,210,cluster13
0.296288,4,1,1,200,cluster13
0.360167,4,1,1,190,cluster13
0.40857,4,1,1,180,cluster13
0.473141,4,1,1,170,cluster13
0.346734,4,1,1,160,cluster13
0.64137,4,1,1,150,cluster13
1.82691,4,1,1,140,cluster13
1.87085,4,1,1,130,cluster13
1.76264,4,1,1,120,cluster13
0.818117,4,2,1,5380,cluster13
0.809417,4,2,1,5370,cluster13
0.071997,6,0,0,23400,cluster13
0.070749,6,0,0,23390,cluster13
0,4,0,1,18300,cluster13
0,4,0,1,18290,cluster13
0,4,0,1,18280,cluster13
0,4,0,1,18270,cluster13
0,4,0,1,18260,cluster13
0,4,0,1,18250,cluster13
0,4,0,1,18240,cluster13
0,4,0,1,18230,cluster13
0,4,0,1,18220,cluster13
0,4,0,1,18210,cluster13
0.42122,4,1,1,110,cluster13
0,4,1,1,100,cluster13
0,4,1,1,90,cluster13
0.36724,4,1,1,80,cluster13
0.33531,4,1,1,70,cluster13
0.243042,4,1,1,60,cluster13
0.205186,4,1,1,50,cluster13
0.328453,4,1,1,40,cluster13
0.279636,4,1,1,30,cluster13
0.262066,4,1,1,20,cluster13
0.587284,4,2,1,5300,cluster13
0.583533,4,2,1,5290,cluster13
0.589133,4,2,1,5210,cluster13
0,4,0,1,18200,cluster13
0,4,0,1,18190,cluster13
0,4,0,1,18180,cluster13
0,4,0,1,18170,cluster13
0,4,0,1,18160,cluster13
0,4,0,1,18150,cluster13
0,4,0,1,18140,cluster13
0,4,0,1,18130,cluster13
0,4,0,1,18120,cluster13
0,4,0,1,18110,cluster13
0.629683,4,2,1,5200,cluster13
0.673451,4,2,1,5150,cluster13
0.681033,4,2,1,5140,cluster13
0,2,3,1,10090,cluster13
0,2,3,1,10070,cluster13
0,4,0,1,18100,cluster13
0,4,0,1,18090,cluster13
0,4,0,1,18080,cluster13
0,4,0,1,18070,cluster13
0,4,0,1,18060,cluster13
0,4,0,1,18050,cluster13
0,4,0,1,18040,cluster13
0,4,0,1,18030,cluster13
0,4,0,1,18020,cluster13
0,4,0,1,18010,cluster13
0.696034,4,2,1,5080,cluster13
0.70445,4,2,1,5070,cluster13
0.119434,6,0,0,23100,cluster13
0.661768,4,2,1,5010,cluster13
0.122049,6,0,0,23040,cluster13
0.13095,6,0,0,23030,cluster13
0.208867,6,0,0,23010,cluster13
0,4,0,1,18000,cluster13
0,4,0,1,17590,cluster13
0,4,0,1,17580,cluster13
