'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0.102133,1,3,1,9180,1.5071,cluster13
0.04153,1,3,1,9170,1.47078,cluster13
0.295867,3,1,1,3210,1.70373,cluster12
0.058571,1,3,1,9160,1.47107,cluster13
0.706284,3,1,1,3200,1.75403,cluster12
0.033134,1,3,1,9150,1.4795,cluster13
0.038,3,1,1,3190,1.06368,cluster12
0.034337,1,3,1,9140,1.51092,cluster13
0,3,1,1,3180,1.06652,cluster12
0,1,3,1,9130,1.46495,cluster13
0.009036,3,1,1,3170,1.073,cluster12
0.241997,1,3,1,9120,1.51948,cluster13
0,3,1,1,3160,1.06272,cluster12
0.560446,1,3,1,9110,1.60183,cluster13
0.00083,3,1,1,3150,1.06463,cluster12
0.016266,1,3,1,9100,1.06955,cluster13
0.003601,3,1,1,3140,1.06523,cluster12
0.06725,3,1,1,3130,1.05988,cluster12
0.231374,3,1,1,3120,1.06802,cluster12
0,4,3,1,8210,0.381683,cluster12
0,4,3,1,8200,0.479617,cluster12
0.067733,4,3,1,8190,0.955583,cluster12
0,4,3,1,8180,0.940733,cluster12
0,4,3,1,8170,0.9715,cluster12
0,4,3,1,8160,1.04892,cluster12
0,4,3,1,8150,1.0429,cluster12
0,4,3,1,8140,1.0643,cluster12
0,4,3,1,8130,1.01032,cluster12
0,4,3,1,8120,1.08567,cluster12
0,1,0,1,22110,0.98015,cluster12
0.01267,1,0,1,22100,1.00703,cluster12
0,1,0,1,22090,1.05685,cluster12
0.818951,1,0,1,22080,1.10423,cluster12
0.53959,1,0,1,22070,0.818533,cluster12
0.123983,1,0,1,22060,0.419217,cluster12
0.117666,1,0,1,22050,0.419833,cluster12
0.121534,1,0,1,22040,0.42505,cluster4
0.120886,1,0,1,22030,0.425583,cluster4
0.120803,1,0,1,22020,0.423233,cluster4
0.012353,1,3,1,9090,1.07007,cluster13
0.027885,1,3,1,9080,1.06977,cluster13
0.024947,1,3,1,9070,1.06883,cluster13
0.12465,3,1,1,3110,0.975517,cluster12
0.015701,1,3,1,9060,1.0715,cluster13
0.358737,3,1,1,3100,0.937717,cluster12
0.022216,1,3,1,9050,1.075,cluster13
0.667251,3,1,1,3090,0.93375,cluster12
0.007563,1,3,1,9040,1.07173,cluster13
0.228786,3,1,1,3080,0.516783,cluster12
0.02323,1,3,1,9030,1.07183,cluster13
0.221683,3,1,1,3070,0.49605,cluster12
0.017747,1,3,1,9020,1.07033,cluster13
0.204387,3,1,1,3060,0.4916,cluster12
0,1,3,1,9010,1.06677,cluster13
0.213766,3,1,1,3050,0.49315,cluster12
0,1,3,1,9000,1.06417,cluster13
0.213957,3,1,1,3040,0.4901,cluster12
0.20672,3,1,1,3030,0.4939,cluster12
0.216167,3,1,1,3020,0.4956,cluster12
0,4,3,1,8110,1.02737,cluster12
0,4,3,1,8100,1.0591,cluster12
0,4,3,1,8090,1.0455,cluster12
0.012334,4,3,1,8080,1.0543,cluster12
0.061949,4,3,1,8070,1.04835,cluster12
0,4,3,1,8060,0.942217,cluster12
0,4,3,1,8050,0.963817,cluster12
0,4,3,1,8040,0.95075,cluster12
0,4,3,1,8030,0.96755,cluster12
0,4,3,1,8020,0.990867,cluster12
0.02644,1,0,1,22010,0.420817,cluster4
0,1,0,1,22000,0.427433,cluster4
0.072967,1,0,1,21590,0.532983,cluster4
0.061956,1,0,1,21580,0.5328,cluster12
0.055124,1,0,1,21570,0.527517,cluster12
0.052674,1,0,1,21560,0.524967,cluster12
0.038083,1,0,1,21550,0.521433,cluster12
0.17467,1,0,1,21540,0.533883,cluster12
0.09487,1,0,1,21530,0.455683,cluster12
0.070153,1,0,1,21520,0.413417,cluster12
1.00407,3,0,1,18200,1.973083,cluster13
1.01645,3,0,1,18190,1.966267,cluster13
1.00388,3,0,1,18180,1.966317,cluster13
0.997184,3,0,1,18170,1.971683,cluster13
0.975783,3,0,1,18160,1.96185,cluster13
0.977382,3,0,1,18150,1.95075,cluster13
0.97735,3,0,1,18140,1.93805,cluster13
0.775267,3,0,1,18130,1.741983,cluster13
0.598117,3,0,1,18120,1.568967,cluster13
1.39479,2,1,1,3010,2.279,cluster3
0.599617,3,0,1,18110,1.568617,cluster13
1.5997,2,1,1,3000,2.46218,cluster3
1.81836,2,1,1,2590,2.68472,cluster3
1.78427,2,1,1,2580,2.66485,cluster3
1.54515,2,1,1,2570,2.67895,cluster3
1.26709,2,1,1,2560,2.6926,cluster3
1.69709,2,1,1,2550,3.1438,cluster3
1.90982,2,1,1,2540,3.36813,cluster3
1.91928,2,1,1,2530,3.43432,cluster3
0.820783,2,1,1,2520,2.38713,cluster3
0.220073,3,1,1,3010,0.491033,cluster12
0.20815,3,1,1,3000,0.488867,cluster12
0.174424,3,1,1,2590,0.490117,cluster12
0.103854,3,1,1,2580,0.494283,cluster12
0.187503,3,1,1,2570,0.5733,cluster12
0.217557,3,1,1,2560,0.597067,cluster12
0,3,1,1,2550,0.5944,cluster12
0,3,1,1,2540,0.59725,cluster12
0.041589,3,1,1,2530,1.01352,cluster12
0.074456,3,1,1,2520,1.04967,cluster12
0.533183,5,0,0,14200,0.893433,cluster15
0.560067,5,0,0,14190,1.013233,cluster15
0.70275,5,0,0,14180,1.2097,cluster15
0.644251,5,0,0,14170,1.170617,cluster15
0.578135,5,0,0,14160,1.09755,cluster15
0.463468,5,0,0,14150,0.858767,cluster15
0.451216,5,0,0,14140,0.76145,cluster15
0.557382,5,0,0,14130,0.841283,cluster15
0.6372,5,0,0,14120,0.921067,cluster15
0.521249,5,0,0,14110,0.805667,cluster15
0,4,3,1,8010,1.0104,cluster12
0.25042,4,3,1,8000,1.04578,cluster12
0.843387,4,3,1,7590,1.19227,cluster12
0.066523,4,3,1,7580,0.434533,cluster12
0.066773,4,3,1,7570,0.429633,cluster12
0.066523,4,3,1,7560,0.432717,cluster12
0,4,3,1,7550,0.43,cluster12
0.001604,4,3,1,7540,0.4689,cluster12
0.060473,4,3,1,7530,0.535067,cluster12
0.069769,4,3,1,7520,0.537083,cluster12
0.049457,1,0,1,21510,0.41035,cluster12
0.046556,1,0,1,21500,0.416933,cluster12
0.051707,1,0,1,21490,0.42055,cluster12
0.054803,1,0,1,21480,0.424683,cluster12
0.05129,1,0,1,21470,0.418617,cluster12
0.05062,1,0,1,21460,0.419517,cluster12
0.058001,1,0,1,21450,0.418317,cluster12
0.055704,1,0,1,21440,0.418817,cluster12
0.052383,1,0,1,21430,0.416833,cluster12
0.051083,1,0,1,21420,0.41415,cluster12
0.59765,3,0,1,18100,1.567933,cluster13
0.581751,3,0,1,18090,1.5692,cluster13
0.5785,3,0,1,18080,1.564533,cluster13
0.600867,3,0,1,18070,1.57315,cluster13
0.585551,3,0,1,18060,1.56845,cluster13
0.597751,3,0,1,18050,1.568417,cluster13
0.5911,3,0,1,18040,1.564283,cluster13
0.594682,3,0,1,18030,1.563033,cluster13
0.9107,3,0,1,18020,1.8922,cluster13
0.363937,2,1,1,2510,1.9335,cluster3
1.00385,3,0,1,18010,1.97215,cluster13
0.03235,2,1,1,2500,1.63068,cluster3
0,2,1,1,2490,1.52323,cluster3
0,2,1,1,2480,1.55572,cluster3
0.631737,2,1,1,2470,1.62217,cluster3
0.353943,2,1,1,2460,1.32992,cluster3
0,2,1,1,2450,1.01033,cluster3
0,2,1,1,2440,1.00627,cluster3
0,2,1,1,2430,1.10435,cluster3
0,2,1,1,2420,1.11503,cluster3
0.092624,3,1,1,2510,1.04472,cluster12
0.068627,3,1,1,2500,1.05132,cluster12
0.074803,3,1,1,2490,1.04745,cluster12
0.0741,3,1,1,2480,1.04688,cluster12
0.08787,3,1,1,2470,1.05223,cluster12
0.071687,3,1,1,2460,1.04318,cluster12
0.085553,3,1,1,2450,1.04557,cluster12
0.153767,3,1,1,2440,1.04165,cluster12
0.14915,3,1,1,2430,1.0361,cluster12
0.14415,3,1,1,2420,1.03035,cluster12
0.476199,5,0,0,14100,0.760867,cluster15
1.4405,0,3,0,13000,2.540767,cluster15
0.476283,5,0,0,14090,0.760333,cluster15
1.47028,0,3,0,12590,2.586483,cluster15
0.479467,5,0,0,14080,0.76275,cluster15
1.42275,0,3,0,12580,2.509683,cluster15
0.478416,5,0,0,14070,0.7621,cluster15
1.4099,0,3,0,12570,2.345483,cluster15
0.476384,5,0,0,14060,0.760167,cluster15
1.4202,0,3,0,12560,2.34375,cluster15
0.478516,5,0,0,14050,0.7635,cluster15
1.42012,0,3,0,12550,2.346533,cluster15
0.470433,5,0,0,14040,0.833633,cluster15
1.442,0,3,0,12540,2.38165,cluster15
0.37945,5,0,0,14030,1.007933,cluster15
1.57316,0,3,0,12530,2.569133,cluster15
0.372066,5,0,0,14020,1.00795,cluster15
1.7192,0,3,0,12520,3.079783,cluster15
0,0,0,0,21410,0.956817,cluster4
0.3823,5,0,0,14010,1.018083,cluster15
1.46133,0,3,0,12510,2.81975,cluster15
0,0,0,0,21400,0.971317,cluster4
0,0,0,0,21390,0.967717,cluster4
0.078689,4,3,1,7510,0.543933,cluster12
0,0,0,0,21380,0.967383,cluster4
0.073983,4,3,1,7500,0.54645,cluster12
0,0,0,0,21370,1.00138,cluster4
0.063589,4,3,1,7490,0.541783,cluster12
0,0,0,0,21360,1.02453,cluster3
0.077799,4,3,1,7480,0.544733,cluster12
0.54207,0,0,0,21350,1.09383,cluster4
0.044906,4,3,1,7470,0.542383,cluster12
0.947064,0,0,0,21340,1.11598,cluster4
0.048518,4,3,1,7460,0.5457,cluster12
0.15464,0,0,0,21330,0.32465,cluster4
0.048991,4,3,1,7450,0.544817,cluster12
0.137904,0,0,0,21320,0.320617,cluster4
0.067753,4,3,1,7440,0.547683,cluster12
0.057819,4,3,1,7430,0.543533,cluster12
0.03959,4,3,1,7420,0.543917,cluster12
0.049133,1,0,1,21410,0.411467,cluster12
0.048236,1,0,1,21400,0.41325,cluster12
0.054703,1,0,1,21390,0.417983,cluster12
0.06964,1,0,1,21380,0.419867,cluster12
0.087954,1,0,1,21370,0.417117,cluster12
0.07282,1,0,1,21360,0.4208,cluster12
0.072266,1,0,1,21350,0.420033,cluster12
0.070436,1,0,1,21340,0.422333,cluster12
0.100503,1,0,1,21330,0.42475,cluster12
0.125283,1,0,1,21320,0.416283,cluster12
2.42162,0,3,0,12000,3.606383,cluster55
2.46362,0,3,0,11590,3.64085,cluster19
2.12082,0,3,0,11580,3.303533,cluster19
2.04627,0,3,0,11570,3.189833,cluster19
1.94707,0,3,0,11560,2.95635,cluster55
1.92933,0,3,0,11550,2.931133,cluster55
1.71508,0,3,0,11540,2.73405,cluster17
1.21247,0,3,0,11530,2.197283,cluster17
1.45767,3,3,1,9000,1.983717,cluster15
0.961383,0,3,0,11520,1.902883,cluster15
2.13652,3,3,1,8590,2.658533,cluster55
0.964033,0,3,0,11510,1.901783,cluster15
2.27315,3,3,1,8580,2.7583,cluster55
2.31953,3,3,1,8570,2.750517,cluster55
1.00373,3,0,1,18000,1.97005,cluster13
2.31677,3,3,1,8560,2.74595,cluster55
0.994,3,0,1,17590,1.958833,cluster13
2.31742,3,3,1,8550,2.74585,cluster55
0.972733,3,0,1,17580,1.946783,cluster13
2.3181,3,3,1,8540,2.747733,cluster55
0.982466,3,0,1,17570,1.923083,cluster13
2.32207,3,3,1,8530,2.754117,cluster55
1.01998,3,0,1,17560,1.639267,cluster13
2.32123,3,3,1,8520,2.758767,cluster55
1.1019,3,0,1,17550,1.4542,cluster13
2.20933,3,3,1,8510,2.94095,cluster55
1.09538,3,0,1,17540,1.45425,cluster13
0.933151,3,0,1,17530,1.260017,cluster13
0.688583,3,0,1,17520,0.9998,cluster13
0,2,1,1,2410,1.12325,cluster3
0.690417,3,0,1,17510,0.995117,cluster13
0,2,1,1,2400,1.11302,cluster3
0,2,1,1,2390,1.11267,cluster3
0,2,1,1,2380,1.1121,cluster3
0,2,1,1,2370,1.12792,cluster3
0,2,1,1,2360,1.13157,cluster3
0,2,1,1,2350,1.13352,cluster3
0,2,1,1,2340,1.13222,cluster3
0,2,1,1,2330,1.11458,cluster3
0.191653,2,1,1,2320,1.09638,cluster3
0,3,1,1,2410,1.02845,cluster12
0,3,1,1,2400,1.02692,cluster12
0,3,1,1,2390,1.47062,cluster12
0,3,1,1,2380,1.54263,cluster12
0,3,1,1,2370,1.5426,cluster12
0,3,1,1,2360,1.54902,cluster12
0,3,1,1,2350,1.6102,cluster12
0,3,1,1,2340,1.6799,cluster12
0,3,1,1,2330,1.64842,cluster12
0,3,1,1,2320,1.65793,cluster12
1.54992,3,3,1,8000,2.33495,cluster3
1.54938,3,3,1,7590,2.314167,cluster3
1.55807,3,3,1,7580,2.327383,cluster3
1.54958,3,3,1,7570,2.331533,cluster3
1.55213,3,3,1,7560,2.334067,cluster3
